species	gff_upmost_parent	gene_name	aliases	feature_type	description	Scerevisiae_orthologs	start	end	gene_length	chromosome	orthofinder_orthocluster	GOterms	GOterms_cgdCurated
Candida_glabrata	CAGL0D01034g	VIG9	CAGL-IPF2627|CAGL-CDS3064.1|CAG58370.1|PSA1	ORF|Verified	GDP-mannose pyrophosphorylase involved in the synthesis of GDP-mannose for protein glycosylation	PSA1	121398	123077	1679	ChrD_C_glabrata_CBS138	OG0000981	{'GO:0009986', 'GO:0005737', 'GO:0006486', 'GO:0030445', 'GO:0009272', 'GO:0051286', 'GO:0009058', 'GO:0005886', 'GO:0016779', 'GO:0009298', 'GO:0004475', 'GO:0000032', 'GO:0016740'}	{'GO:0009986', 'GO:0005737', 'GO:0006486', 'GO:0030445', 'GO:0009272', 'GO:0051286', 'GO:0005886', 'GO:0009298', 'GO:0004475', 'GO:0000032'}
Candida_glabrata	CAGL0D01056g		CAGL-IPF2629|CAGL-CDS2126.1|CAG58371.1	ORF|Uncharacterized	Ortholog(s) have fungal-type vacuole membrane localization	MCH1	123376	125357	1981	ChrD_C_glabrata_CBS138	OG0002598	{'GO:0003674', 'GO:0055085', 'GO:0016021', 'GO:0022857', 'GO:0000329'}	{'GO:0055085', 'GO:0016021', 'GO:0003674', 'GO:0000329'}
Candida_glabrata	CAGL0D01078g		CAGL-IPF2630|CAGL-CDS0593.1|CAG58372.1	ORF|Uncharacterized	Ortholog(s) have role in cargo loading into COPII-coated vesicle and COPII vesicle coat, endoplasmic reticulum exit site localization	SFB2	125716	128827	3111	ChrD_C_glabrata_CBS138	OG0000415	{'GO:0006886', 'GO:0070971', 'GO:0030127', 'GO:0006888', 'GO:0008270', 'GO:0090110'}	{'GO:0006886', 'GO:0070971', 'GO:0030127', 'GO:0008270', 'GO:0090110'}
Candida_glabrata	CAGL0D01100g		CAGL-IPF2633|CAG58373.1	ORF|Uncharacterized	Has domain(s) with predicted 6-phosphofructo-2-kinase activity, ATP binding, catalytic activity and role in fructose 2,6-bisphosphate metabolic process, fructose metabolic process		128986	131767	2781	ChrD_C_glabrata_CBS138	OG0000339	{'GO:0005524', 'GO:0006000', 'GO:0003824', 'GO:0003873', 'GO:0005575', 'GO:0006003'}	{'GO:0005524', 'GO:0006000', 'GO:0003824', 'GO:0003873', 'GO:0005575', 'GO:0006003'}
Candida_glabrata	CAGL0D01122g		CAGL-IPF2634|CAGL-CDS2043.1|CAG58374.1	ORF|Uncharacterized	Ortholog(s) have GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity, role in dolichol-linked oligosaccharide biosynthetic process and endoplasmic reticulum membrane localization	ALG11	131850	133593	1743	ChrD_C_glabrata_CBS138	OG0000766	{'GO:0016757', 'GO:0006488', 'GO:0004377', 'GO:0005789'}	{'GO:0006488', 'GO:0004377', 'GO:0005789'}
Candida_glabrata	CAGL0D01144g		CAGL-IPF2636|CAGL-CDS4731.1|CAG58375.1	ORF|Uncharacterized	Ortholog(s) have ribosome binding activity, role in mitochondrial respiratory chain complex III assembly, positive regulation of mitochondrial translation and Cbp3p-Cbp6 complex, mitochondrial ribosome localization	CBP6	133647	134630	983	ChrD_C_glabrata_CBS138	OG0001798	{'GO:0005739', 'GO:0034551', 'GO:0061671', 'GO:0070131', 'GO:0005761', 'GO:0043022'}	{'GO:0034551', 'GO:0061671', 'GO:0070131', 'GO:0005761', 'GO:0043022'}
Candida_glabrata	CAGL0D01166g		CAGL-IPF2637|CAGL-CDS3589.1|CAG58376.1	ORF|Uncharacterized	Has domain(s) with predicted nucleic acid binding, nucleotide binding activity		134511	135487	976	ChrD_C_glabrata_CBS138	OG0006470	{'GO:0005575', 'GO:0003676', 'GO:0000166', 'GO:0008150'}	{'GO:0005575', 'GO:0000166', 'GO:0003676', 'GO:0008150'}
Candida_glabrata	CAGL0D01188g	TEF1	CAGL-IPF2639|CAGL-CDS2328.1|CAG58377.1	ORF|Uncharacterized	Translation elongation factor eEF1 alpha-A chain	TEF1	135589	137437	1848	ChrD_C_glabrata_CBS138	OG0000146	{'GO:0005739', 'GO:0009986', 'GO:0006409', 'GO:0005576', 'GO:0019003', 'GO:0051701', 'GO:0030445', 'GO:0006414', 'GO:0030446', 'GO:0003924', 'GO:0002182', 'GO:0005516', 'GO:0051017', 'GO:0017048', 'GO:0051015', 'GO:0003746', 'GO:0005525', 'GO:0000329'}	{'GO:0009986', 'GO:0005739', 'GO:0006409', 'GO:0051015', 'GO:0005576', 'GO:0019003', 'GO:0003924', 'GO:0030445', 'GO:0051701', 'GO:0002182', 'GO:0005516', 'GO:0051017', 'GO:0017048', 'GO:0030446', 'GO:0003746', 'GO:0005525', 'GO:0000329'}
Candida_glabrata	CAGL0D01210g		CAGL-IPF2640|CAGL-CDS4159.1|CAG58378.1	ORF|Uncharacterized	Has domain(s) with predicted racemase activity, acting on amino acids and derivatives, racemase and epimerase activity, acting on amino acids and derivatives activity		137797	138919	1122	ChrD_C_glabrata_CBS138	OG0006769	{'GO:0006807', 'GO:0008152', 'GO:0016855', 'GO:0036361', 'GO:0005575', 'GO:0047661', 'GO:0006520'}	{'GO:0006807', 'GO:0008152', 'GO:0016855', 'GO:0036361', 'GO:0005575', 'GO:0006520'}
Candida_glabrata	CAGL0D01232g		CAGL-IPF2641|CAGL-CDS3327.1|CAG58379.1	ORF|Uncharacterized	Ortholog(s) have signal sequence binding activity, role in vacuolar transport and late endosome localization	MRL1	138547	140798	2251	ChrD_C_glabrata_CBS138	OG0002285	{'GO:0005048', 'GO:0007034', 'GO:0005770'}	{'GO:0005048', 'GO:0007034', 'GO:0005770'}
Candida_glabrata	CAGL0D01254g		CAGL-IPF2642|CAGL-CDS4187.1|CAG58380.1	ORF|Uncharacterized	Protein of unknown function		140355	141038	683	ChrD_C_glabrata_CBS138	OG0007055	{'GO:0005575', 'GO:0003674', 'GO:0008150'}	{'GO:0005575', 'GO:0003674', 'GO:0008150'}
Candida_glabrata	CAGL0D01265g	MT-I	CAR58010.1	ORF|Verified	Copper-binding metallothionein, involved in sequestration of metal ions; inducible by copper and silver; gene used for molecular typing of C. glabrata strain isolates		142000	142191	191	ChrD_C_glabrata_CBS138	OG0006561	{'GO:0005575', 'GO:0005507', 'GO:0071280', 'GO:0071292'}	{'GO:0005575', 'GO:0005507', 'GO:0071280', 'GO:0071292'}
Candida_glabrata	CAGL0D01276g		CAGL-IPF2651|CAGL-CDS2452.1|CAG58381.1	ORF|Uncharacterized	Ortholog(s) have role in fungal-type cell wall biogenesis, mitotic cell cycle G1 arrest in response to pheromone and osmosensory signaling pathway, more	OPY2	142427	144005	1578	ChrD_C_glabrata_CBS138	OG0001139	{'GO:0007231', 'GO:0000751', 'GO:0003674', 'GO:1900436', 'GO:0005887', 'GO:0009272', 'GO:0072659'}	{'GO:0007231', 'GO:0000751', 'GO:0003674', 'GO:1900436', 'GO:0005887', 'GO:0009272', 'GO:0072659'}
Candida_glabrata	CAGL0D01298g	TKL1	CAGL-IPF2655|CAGL-CDS1156.1|CAG58382.1	ORF|Verified	Putative transketolase	TKL1	144997	147554	2557	ChrD_C_glabrata_CBS138	OG0002985	{'GO:0009986', 'GO:0005829', 'GO:0003824', 'GO:0030445', 'GO:0004802', 'GO:0005886', 'GO:0062040', 'GO:0006098'}	{'GO:0009986', 'GO:0005829', 'GO:0030445', 'GO:0004802', 'GO:0005886', 'GO:0062040', 'GO:0006098'}
Candida_glabrata	CAGL0D01320g		CAGL-IPF2656|CAGL-CDS4732.1|CAG58383.1	ORF|Uncharacterized	Ortholog(s) have non-membrane spanning protein tyrosine phosphatase activity and role in protein dephosphorylation	LTP1	148457	149401	944	ChrD_C_glabrata_CBS138	OG0002392	{'GO:0005575', 'GO:0004726', 'GO:0006470', 'GO:0004725'}	{'GO:0005575', 'GO:0004726', 'GO:0006470'}
Candida_glabrata	CAGL0D01342g		CAGL-IPF2659|CAGL-CDS1778.1|CAG58384.1	ORF|Uncharacterized	Ortholog(s) have ubiquitin-protein transferase activity	NOT5	149004	151417	2413	ChrD_C_glabrata_CBS138	OG0000397	{'GO:0031087', 'GO:0032968', 'GO:0000289', 'GO:0005737', 'GO:0005634', 'GO:0030445', 'GO:0009405', 'GO:0006355', 'GO:0016567', 'GO:0006368', 'GO:0098609', 'GO:0000290', 'GO:0036180', 'GO:0004842', 'GO:0030015'}	{'GO:0031087', 'GO:0032968', 'GO:0000289', 'GO:0005737', 'GO:0005634', 'GO:0030445', 'GO:0009405', 'GO:0016567', 'GO:0006368', 'GO:0098609', 'GO:0000290', 'GO:0036180', 'GO:0004842', 'GO:0030015'}
Candida_glabrata	CAGL0D01364g	CYC8	CAGL-IPF2662|CAGL-CDS0278.1|CAG58385.1	ORF|Uncharacterized	Protein of unknown function		151847	155663	3816	ChrD_C_glabrata_CBS138	OG0003323	{'GO:0005575', 'GO:0005515', 'GO:0003674', 'GO:0008150'}	{'GO:0005575', 'GO:0003674', 'GO:0008150'}
Candida_glabrata	CAGL0D01386g	MED1	CAGL-IPF2664|CAGL-CDS1687.1|CAG58386.1	ORF|Uncharacterized	Ortholog(s) have role in negative regulation of transcription by RNA polymerase II, positive regulation of transcription by RNA polymerase II and core mediator complex localization	MED1	155371	157581	2210	ChrD_C_glabrata_CBS138	OG0006557	{'GO:0045944', 'GO:0000122', 'GO:0003712', 'GO:0016592', 'GO:0006357', 'GO:0070847'}	{'GO:0045944', 'GO:0000122', 'GO:0003712', 'GO:0016592', 'GO:0070847'}
Candida_glabrata	CAGL0D01408g	SPE3	CAGL-IPF2666|CAGL-CDS3667.1|CAG58387.1	ORF|Verified	Putative spermine/spermidine synthase; protein differentially expressed in azole resistant strain	SPE3	157715	158814	1099	ChrD_C_glabrata_CBS138	OG0002836	{'GO:0015940', 'GO:0005829', 'GO:0004766', 'GO:0003824', 'GO:0005576', 'GO:0008295', 'GO:0006595'}	{'GO:0015940', 'GO:0004766', 'GO:0005829', 'GO:0005576', 'GO:0008295'}
Candida_glabrata	CAGL0D01430g		CAGL-IPF2667|CAGL-CDS2440.1|CAG58388.1	ORF|Uncharacterized	Ortholog(s) have protein deacetylase activity and role in histone H4 deacetylation, peptidyl-lysine deacetylation, positive regulation of transcription by RNA polymerase II, transfer RNA gene-mediated silencing	HOS1	158792	160419	1627	ChrD_C_glabrata_CBS138	OG0003909	{'GO:0045944', 'GO:0061587', 'GO:0033558', 'GO:0034983', 'GO:0070933', 'GO:0000118'}	{'GO:0045944', 'GO:0061587', 'GO:0033558', 'GO:0034983', 'GO:0070933', 'GO:0000118'}
Candida_glabrata	CAGL0D01452g		CAGL-IPF15466|CAG58389.1	ORF|Uncharacterized	Ortholog(s) have calcium ion binding activity, role in regulation of cell cycle, spore germination and hyphal tip, spitzenkorper localization		160496	161537	1041	ChrD_C_glabrata_CBS138	OG0000608	{'GO:0005509', 'GO:0019722', 'GO:0031521', 'GO:0001411', 'GO:0009847', 'GO:0051726'}	{'GO:0005509', 'GO:0031521', 'GO:0001411', 'GO:0009847', 'GO:0051726'}
Candida_glabrata	CAGL0D01474g		CAGL-IPF4783|CAGL-CDS1222.1|CAG58390.1	ORF|Uncharacterized	Protein of unknown function		161390	163507	2117	ChrD_C_glabrata_CBS138	OG0005574	{'GO:0003674', 'GO:0008150', 'GO:0005575', 'GO:0051016', 'GO:0030479'}	{'GO:0005575', 'GO:0003674', 'GO:0008150'}
Candida_glabrata	CAGL0D01496g		CAGL-IPF4784|CAGL-CDS4198.1|CAG58391.1	ORF|Uncharacterized	Ortholog(s) have iron ion binding activity, role in biotin biosynthetic process, iron-sulfur cluster assembly, protein maturation by [4Fe-4S] cluster transfer and mitochondrial intermembrane space, mitochondrial matrix localization	ISA2	163802	164482	680	ChrD_C_glabrata_CBS138	OG0003514	{'GO:0005506', 'GO:0005758', 'GO:0009102', 'GO:0016226', 'GO:0106035', 'GO:0005759'}	{'GO:0005506', 'GO:0005758', 'GO:0009102', 'GO:0016226', 'GO:0106035', 'GO:0005759'}
Candida_glabrata	CAGL0D01518g		CAGL-IPF4787|CAGL-CDS3624.1|CAG58392.1	ORF|Uncharacterized	Ortholog(s) have NEDD8 activating enzyme activity and role in protein neddylation	UBA3	164578	165687	1109	ChrD_C_glabrata_CBS138	OG0003612	{'GO:0005524', 'GO:0016881', 'GO:0045116', 'GO:0005575', 'GO:0008641', 'GO:0019781'}	{'GO:0005524', 'GO:0016881', 'GO:0045116', 'GO:0005575', 'GO:0019781'}
Candida_glabrata	CAGL0D01540g		CAGL-IPF4789|CAGL-CDS5083.1|CAG58393.1	ORF|Uncharacterized	Ortholog of S. cerevisiae : YPR063C, C. albicans SC5314 : C6_01210W_A, C. dubliniensis CD36 : Cd36_61340, C. parapsilosis CDC317 : CPAR2_602790 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_115026	YPR063C	164786	167326	2540	ChrD_C_glabrata_CBS138	OG0001391	{'GO:0005575', 'GO:0003674', 'GO:0008150'}	{'GO:0005575', 'GO:0003674', 'GO:0008150'}
Candida_glabrata	CAGL0D01562g	FCY1	CAGL-IPF4790|CAGL-CDS4779.1|CAG58394.1	ORF|Uncharacterized	Ortholog(s) have cytosine deaminase activity and role in cytidine metabolic process, cytosine metabolic process, pyrimidine-containing compound salvage	FCY1	166222	168867	2645	ChrD_C_glabrata_CBS138	OG0001533	{'GO:0003824', 'GO:0019858', 'GO:0004131', 'GO:0016787', 'GO:0046087', 'GO:0005575', 'GO:0008270', 'GO:0008655'}	{'GO:0019858', 'GO:0004131', 'GO:0046087', 'GO:0005575', 'GO:0008270', 'GO:0008655'}
Candida_glabrata	CAGL0D01584g		CAGL-IPF4791|CAGL-CDS3600.1|CAG58395.1	ORF|Uncharacterized	Ortholog(s) have mitochondrion localization	JID1	167317	169500	2183	ChrD_C_glabrata_CBS138	OG0001475	{'GO:0005739', 'GO:0003674', 'GO:0008150'}	{'GO:0005739', 'GO:0003674', 'GO:0008150'}
Candida_glabrata	CAGL0D01606g		CAGL-IPF4792|CAGL-CDS3568.1|CAG58396.1	ORF|Uncharacterized	Ortholog(s) have glycine transmembrane transporter activity, role in glycine import into mitochondrion, heme biosynthetic process and fungal-type vacuole, mitochondrion localization	YMC1	168993	170037	1044	ChrD_C_glabrata_CBS138	OG0000526	{'GO:0005739', 'GO:0000324', 'GO:0015187', 'GO:1904983', 'GO:0006783'}	{'GO:0005739', 'GO:0000324', 'GO:0015187', 'GO:1904983', 'GO:0006783'}
Candida_glabrata	CAGL0D01628g		CAGL-IPF4793|CAGL-CDS3078.1|CAG58397.1	ORF|Uncharacterized	Ortholog(s) have role in spliceosomal complex assembly and small nuclear ribonucleoprotein complex localization	BRR1	170498	171777	1279	ChrD_C_glabrata_CBS138	OG0006696	{'GO:0000245', 'GO:0003674', 'GO:0030532'}	{'GO:0000245', 'GO:0003674', 'GO:0030532'}
Candida_glabrata	CAGL0D01650g		CAGL-IPF4794|CAGL-CDS3286.1|CAG58398.1	ORF|Uncharacterized	Ortholog(s) have role in nucleotide-excision repair, phosphorylation of RNA polymerase II C-terminal domain, transcription by RNA polymerase II	TFB4	171910	173117	1207	ChrD_C_glabrata_CBS138	OG0002038	{'GO:0000112', 'GO:0006289', 'GO:0003674', 'GO:0006366', 'GO:0070816', 'GO:0006355', 'GO:0000439', 'GO:0005675'}	{'GO:0000112', 'GO:0006289', 'GO:0003674', 'GO:0006366', 'GO:0070816', 'GO:0000439', 'GO:0005675'}
Candida_glabrata	CAGL0D01672g		CAGL-IPF4795|CAGL-CDS0427.1|CAG58399.1	ORF|Uncharacterized	Ortholog(s) have role in Golgi inheritance, Golgi to plasma membrane transport, endoplasmic reticulum inheritance, exocytosis and cellular bud neck, cellular bud tip, exocyst, hyphal tip, incipient cellular bud site localization	SEC8	173276	176627	3351	ChrD_C_glabrata_CBS138	OG0002161	{'GO:0090522', 'GO:0006893', 'GO:0003674', 'GO:0005935', 'GO:0000131', 'GO:0015031', 'GO:0006887', 'GO:0005934', 'GO:0006904', 'GO:0001411', 'GO:0048309', 'GO:0000145', 'GO:0048313'}	{'GO:0006893', 'GO:0003674', 'GO:0005935', 'GO:0000131', 'GO:0015031', 'GO:0006887', 'GO:0005934', 'GO:0006904', 'GO:0001411', 'GO:0048309', 'GO:0000145', 'GO:0048313'}
Candida_glabrata	CAGL0D01694g		CAGL-IPF4796|CAGL-CDS2541.1|CAG58400.1	ORF|Uncharacterized	Ortholog(s) have MAP kinase activity and role in ascospore wall assembly, negative regulation of sporulation resulting in formation of a cellular spore, protein autophosphorylation	SMK1	176854	178724	1870	ChrD_C_glabrata_CBS138	OG0004112	{'GO:0005524', 'GO:0046777', 'GO:0006468', 'GO:0042174', 'GO:0004707', 'GO:0005575', 'GO:0004713', 'GO:0030476', 'GO:0004672'}	{'GO:0005524', 'GO:0046777', 'GO:0042174', 'GO:0004707', 'GO:0005575', 'GO:0004713', 'GO:0030476'}
Candida_glabrata	CAGL0D01716g		CAGL-IPF4797|CAGL-CDS3938.1|CAG58401.1	ORF|Uncharacterized	Ortholog(s) have DNA polymerase processivity factor activity		178991	180261	1270	ChrD_C_glabrata_CBS138	OG0000461	{'GO:0035861', 'GO:0030337', 'GO:1903364', 'GO:0043626', 'GO:1903459', 'GO:0070987', 'GO:0043596', 'GO:0006275', 'GO:0070914', 'GO:0000790', 'GO:0003677', 'GO:0042276', 'GO:0005654', 'GO:1900264'}	{'GO:0035861', 'GO:0030337', 'GO:1903364', 'GO:0043626', 'GO:1903459', 'GO:0070987', 'GO:0043596', 'GO:0070914', 'GO:0000790', 'GO:0003677', 'GO:0042276', 'GO:0005654', 'GO:1900264'}
Candida_glabrata	CAGL0D01738g		CAGL-IPF4800|CAGL-CDS3118.1|CAG58402.1	ORF|Uncharacterized	Ortholog(s) have role in DNA strand elongation involved in DNA replication, UV-damage excision repair and Elg1 RFC-like complex localization		179976	181841	1865	ChrD_C_glabrata_CBS138	OG0001212	{'GO:0006260', 'GO:0006271', 'GO:0031391', 'GO:0000166', 'GO:0070914', 'GO:0003677', 'GO:0017111'}	{'GO:0006271', 'GO:0031391', 'GO:0000166', 'GO:0070914', 'GO:0017111'}
Candida_glabrata	CAGL0D01760g		CAGL-IPF4802|CAGL-CDS3997.1|CAG58403.1	ORF|Uncharacterized	Ortholog(s) have Rab GTPase binding activity and Golgi apparatus localization	YIP4	181237	182827	1590	ChrD_C_glabrata_CBS138	OG0005071	{'GO:0005794', 'GO:0016020', 'GO:0008150', 'GO:0017137'}	{'GO:0005794', 'GO:0016020', 'GO:0008150', 'GO:0017137'}
Candida_glabrata	CAGL0D01782g		CAGL-IPF4808|CAGL-CDS0078.1|CAG58404.1	ORF|Uncharacterized	Ortholog(s) have role in TOR signaling, cellular response to heat, cellular response to pH and chlamydospore formation, more	MDS3	183107	188079	4972	ChrD_C_glabrata_CBS138	OG0000503	{'GO:0036168', 'GO:1900439', 'GO:0034605', 'GO:0007124', 'GO:0003674', 'GO:0036171', 'GO:0036170', 'GO:0005515', 'GO:0009405', 'GO:0005575', 'GO:0044011', 'GO:0075297', 'GO:0071467', 'GO:0001410', 'GO:0036177', 'GO:0031929'}	{'GO:0036168', 'GO:1900439', 'GO:0034605', 'GO:0007124', 'GO:0003674', 'GO:0036171', 'GO:0036170', 'GO:0009405', 'GO:0005575', 'GO:0044011', 'GO:0075297', 'GO:0071467', 'GO:0001410', 'GO:0036177', 'GO:0031929'}
Candida_glabrata	CAGL0D01804g		CAGL-IPF4809|CAGL-CDS2588.1|CAG58405.1	ORF|Uncharacterized	Ortholog(s) have D-serine ammonia-lyase activity and role in D-serine metabolic process	DSD1	188147	189629	1482	ChrD_C_glabrata_CBS138	OG0005341	{'GO:0005575', 'GO:0008721', 'GO:0070178'}	{'GO:0005575', 'GO:0008721', 'GO:0070178'}
Candida_glabrata	CAGL0D01826g		CAGL-IPF4812|CAGL-CDS0010.1|CAG58406.1	ORF|Uncharacterized	Ortholog(s) have protein kinase activator activity	GCN1	189897	198034	8137	ChrD_C_glabrata_CBS138	OG0001733	{'GO:0019887', 'GO:0019901', 'GO:0005576', 'GO:0033674', 'GO:0006448', 'GO:0034198', 'GO:1990625', 'GO:0022626', 'GO:1904262', 'GO:0072431', 'GO:0016239', 'GO:0006417', 'GO:0043022', 'GO:0030295'}	{'GO:0005576', 'GO:0006448', 'GO:0034198', 'GO:1990625', 'GO:0022626', 'GO:1904262', 'GO:0072431', 'GO:0016239', 'GO:0030295'}
Candida_glabrata	CAGL0D01837g		Novel_proteincoding10	ORF|Uncharacterized	Protein of unknown function		197765	198544	779	ChrD_C_glabrata_CBS138	OG0006942	{'GO:0005575', 'GO:0003674', 'GO:0008150'}	{'GO:0005575', 'GO:0003674', 'GO:0008150'}
Candida_glabrata	CAGL0D01848r	tL(CAA)4	tRNA-Leu (CAA)	tRNA|Uncharacterized	tRNA-Leu, predicted by tRNAscan-SE; CAA anticodon		198566	198685	119	ChrD_C_glabrata_CBS138		{'GO:0005575', 'GO:0033404', 'GO:0002182'}	{'GO:0005575', 'GO:0033404', 'GO:0002182'}
Candida_glabrata	CAGL0D01892g		CAGL-IPF4814|CAGL-CDS2651.1|CAG58407.1	ORF|Uncharacterized	Ortholog(s) have L-aspartate:2-oxoglutarate aminotransferase activity, role in aspartate biosynthetic process and cytosol, extracellular region, peroxisome localization	AAT2	199047	200556	1509	ChrD_C_glabrata_CBS138	OG0000507	{'GO:0030170', 'GO:0005829', 'GO:0003824', 'GO:0005576', 'GO:0005777', 'GO:0008483', 'GO:0004069', 'GO:0009058', 'GO:0006520', 'GO:0006532'}	{'GO:0030170', 'GO:0005829', 'GO:0005576', 'GO:0005777', 'GO:0004069', 'GO:0006532'}
Candida_glabrata	CAGL0D01914g		CAGL-IPF4816|CAGL-CDS3287.1|CAG58408.1	ORF|Uncharacterized	Ortholog(s) have SNAP receptor activity and role in ER to Golgi vesicle-mediated transport, intra-Golgi vesicle-mediated transport, vesicle fusion with Golgi apparatus	SED5	200837	202053	1216	ChrD_C_glabrata_CBS138	OG0001869	{'GO:0006886', 'GO:0048280', 'GO:0016021', 'GO:0006888', 'GO:0005484', 'GO:0016020', 'GO:0005801', 'GO:0006891', 'GO:0031201', 'GO:0016192'}	{'GO:0048280', 'GO:0016021', 'GO:0006888', 'GO:0005484', 'GO:0006891', 'GO:0031201', 'GO:0005801'}
Candida_glabrata	CAGL0D01936g	SNF7	CAGL-IPF4819|CAGL-CDS4180.1|CAG58409.1	ORF|Uncharacterized	Ortholog(s) have role in ATP export, cellular response to anoxia, cellular response to drug, cellular response to lithium ion and cellular response to pH, more	SNF7	201964	203461	1497	ChrD_C_glabrata_CBS138	OG0001991	{'GO:0071285', 'GO:0036178', 'GO:0003674', 'GO:0043328', 'GO:0016485', 'GO:0070676', 'GO:0000815', 'GO:0071454', 'GO:0009405', 'GO:0035690', 'GO:1904669', 'GO:0031505', 'GO:0006623', 'GO:0007165', 'GO:0005886', 'GO:0071467', 'GO:0007034'}	{'GO:0071285', 'GO:0036178', 'GO:0003674', 'GO:0043328', 'GO:0016485', 'GO:0070676', 'GO:0000815', 'GO:0071454', 'GO:0009405', 'GO:0035690', 'GO:1904669', 'GO:0031505', 'GO:0006623', 'GO:0007165', 'GO:0005886', 'GO:0071467'}
Candida_glabrata	CAGL0D01958g		CAGL-IPF4822|CAGL-CDS4590.1|CAG58410.1	ORF|Uncharacterized	Ortholog(s) have succinate dehydrogenase (ubiquinone) activity and role in cellular respiration, protein import into mitochondrial inner membrane	SDH3	203913	204794	881	ChrD_C_glabrata_CBS138	OG0001437	{'GO:0042721', 'GO:0000104', 'GO:0009055', 'GO:0045333', 'GO:0045039', 'GO:0016020', 'GO:0008177', 'GO:0045281', 'GO:0006099', 'GO:0005749', 'GO:0016627'}	{'GO:0042721', 'GO:0045333', 'GO:0045039', 'GO:0008177', 'GO:0006099', 'GO:0005749'}
Candida_glabrata	CAGL0D01980g		CAGL-IPF4827|CAGL-CDS1717.1|CAG58411.1	ORF|Uncharacterized	Ortholog(s) have sterol esterase activity, role in cellular lipid metabolic process, sterol metabolic process and integral component of membrane, lipid droplet localization	TGL1	204774	206953	2179	ChrD_C_glabrata_CBS138	OG0002544	{'GO:0016021', 'GO:0044255', 'GO:0004771', 'GO:0005811', 'GO:0016125'}	{'GO:0016021', 'GO:0044255', 'GO:0004771', 'GO:0005811', 'GO:0016125'}
Candida_glabrata	CAGL0D02002g		CAGL-IPF4828|CAGL-CDS1747.1|CAG58412.1	ORF|Uncharacterized	Ortholog(s) have RNA polymerase II CTD heptapeptide repeat kinase activity, cyclin-dependent protein serine/threonine kinase activity	CTK1	207053	209336	2283	ChrD_C_glabrata_CBS138	OG0003179	{'GO:0005524', 'GO:0005730', 'GO:0070692', 'GO:0004693', 'GO:0005844', 'GO:0045903', 'GO:0006468', 'GO:0071619', 'GO:0032786', 'GO:1904789', 'GO:0008353', 'GO:1904788', 'GO:0004713', 'GO:0000790', 'GO:0031124', 'GO:0018105', 'GO:0045943', 'GO:0004672', 'GO:0006413'}	{'GO:0005524', 'GO:0005730', 'GO:0070692', 'GO:0004693', 'GO:0005844', 'GO:0045903', 'GO:0032786', 'GO:0071619', 'GO:1904789', 'GO:0008353', 'GO:1904788', 'GO:0004713', 'GO:0031124', 'GO:0000790', 'GO:0045943', 'GO:0018105', 'GO:0006413'}
Candida_glabrata	CAGL0D02018g		CAGL-IPF15448|CAR58011.1	ORF|Uncharacterized	Ortholog(s) have microtubule plus-end binding activity	HSK3	209430	209642	212	ChrD_C_glabrata_CBS138	OG0006721	{'GO:0008608', 'GO:0042729', 'GO:0031116', 'GO:0051010', 'GO:0051987'}	{'GO:0008608', 'GO:0042729', 'GO:0031116', 'GO:0051010', 'GO:0051987'}
Candida_glabrata	CAGL0D02024g		CAGL-IPF4831|CAGL-CDS5047.1|CAG58413.1	ORF|Uncharacterized	Ortholog(s) have structural constituent of ribosome activity and mitochondrial large ribosomal subunit localization	MRPL31	208989	210715	1726	ChrD_C_glabrata_CBS138	OG0001454	{'GO:0005762', 'GO:0003735', 'GO:0008150'}	{'GO:0005762', 'GO:0003735', 'GO:0008150'}
Candida_glabrata	CAGL0D02046g		CAGL-IPF15447|CAG58414.1	ORF|Uncharacterized	Ortholog(s) have copper ion binding activity, role in mitochondrial respiratory chain complex IV assembly and extrinsic component of mitochondrial inner membrane, mitochondrial intermembrane space localization	CMC1	210437	211176	739	ChrD_C_glabrata_CBS138	OG0000802	{'GO:0005507', 'GO:0031314', 'GO:0033617', 'GO:0005758'}	{'GO:0005507', 'GO:0031314', 'GO:0033617', 'GO:0005758'}
Candida_glabrata	CAGL0D02068g		CAGL-IPF4833|CAGL-CDS1061.1|CAG58415.1	ORF|Uncharacterized	Ortholog(s) have role in Golgi to vacuole transport, cellular response to drug	APL2	210559	214253	3694	ChrD_C_glabrata_CBS138	OG0001770	{'GO:0006886', 'GO:0003674', 'GO:0030117', 'GO:0015031', 'GO:0030276', 'GO:0035690', 'GO:0005575', 'GO:0016192', 'GO:0006896'}	{'GO:0006886', 'GO:0003674', 'GO:0035690', 'GO:0005575', 'GO:0006896'}
Candida_glabrata	CAGL0D02090g	ASC1	CAGL-IPF4835|CAGL-CDS4601.1|CAG58416.1	ORF|Verified	40S small subunit ribosomal protein		213417	216052	2635	ChrD_C_glabrata_CBS138	OG0002205	{'GO:0005829', 'GO:0005080', 'GO:0000747', 'GO:0010389', 'GO:0005515', 'GO:0031954', 'GO:0032995', 'GO:0060733', 'GO:0043022'}	{'GO:0005829', 'GO:0005080', 'GO:0000747', 'GO:0010389', 'GO:0031954', 'GO:0032995', 'GO:0060733', 'GO:0043022'}
